Bias;Group;Sub-Group;Publications (Overall);Publications (Management);Decision LLM during Test Development;Status
Prejudice;What Should We Remember?;We discard specifics to form generalities;462000;16800;Llama-3.1-70B;Exclude
Conservatism;Too Much Information;We notice when something has changed.;232000;10600;GPT-3.5-Turbo;Test cases generated
Anchoring;Too Much Information;We notice when something has changed.;148000;9750;Llama-3.1-70B;Test cases generated
Stereotyping;Not Enough Meaning;We fill in characteristics from stereotypes, generalities, and prior histories;153000;5800;GPT-3.5-Turbo;Test cases generated
Social desirability bias;Need To Act Fast;To act, we must be confident we can make an impact and feel what we do is important;49600;2600;Llama-3.1-70B;Test cases generated
Loss aversion;Need To Act Fast;To get anything done, we tend to complete things we've invested time & energy in.;61300;2000;GPT-3.5-Turbo;Test cases generated
Halo effect;Not Enough Meaning;We imagine things and people we're familiar with or fond of as better;28700;1810;GPT-3.5-Turbo;Test cases generated
Reactance;Need To Act Fast;To avoid mistakes, we tend to preserve our autonomy and group status, and avoid irreversible decisions.;32700;1730;Llama-3.1-70B;Test cases generated
Placebo effect;Not Enough Meaning;We fill in characteristics from stereotypes, generalities, and prior histories;23900;1520;GPT-3.5-Turbo;Exclude
Confirmation bias;Too Much Information;We are drawn to details that confirm our own existing beliefs;40600;1490;GPT-3.5-Turbo;Test cases generated
Not invented here;Not Enough Meaning;We imagine things and people we're familiar with or fond of as better;9160;1350;Llama-3.1-70B;Test cases generated
Selective perception;Too Much Information;We are drawn to details that confirm our own existing beliefs;15300;1150;Llama-3.1-70B;Exclude
Illusion of control;Need To Act Fast;To act, we must be confident we can make an impact and feel what we do is important;19100;1040;GPT-3.5-Turbo;Test cases generated
Escalation of commitment;Need To Act Fast;To get anything done, we tend to complete things we've invested time & energy in.;11800;907;Llama-3.1-70B;Test cases generated
Survivorship bias;Not Enough Meaning;We simplify probabilities and numbers to make them easier to think about;7510;907;Llama-3.1-70B;Test cases generated
Information bias;Need To Act Fast;We favor options that appear simple or have more complete information over more complex, ambiguous options.;16400;906;GPT-3.5-Turbo;Test cases generated
Mental accounting;Not Enough Meaning;We simplify probabilities and numbers to make them easier to think about;22600;789;Llama-3.1-70B;Test cases generated
Optimism bias;Need To Act Fast;To act, we must be confident we can make an impact and feel what we do is important;13600;785;GPT-3.5-Turbo;Test cases generated
Essentialism;Not Enough Meaning;We fill in characteristics from stereotypes, generalities, and prior histories;52500;740;Llama-3.1-70B;Exclude
Status quo bias;Need To Act Fast;To avoid mistakes, we tend to preserve our autonomy and group status, and avoid irreversible decisions.;26000;700;GPT-3.5-Turbo;Test cases generated
Hindsight bias;Not Enough Meaning;We project our current mindset and assumptions onto the past and future;17000;638;GPT-3.5-Turbo;Test cases generated
Self-serving bias;Need To Act Fast;To act, we must be confident we can make an impact and feel what we do is important;11500;559;Llama-3.1-70B;Test cases generated
Availability heuristic;Too Much Information;We notice things already primed in memory or repeated often.;18300;555;GPT-3.5-Turbo;Test cases generated
Risk compensation;Need To Act Fast;To act, we must be confident we can make an impact and feel what we do is important;7220;538;GPT-3.5-Turbo;Test cases generated
Bandwagon effect;Not Enough Meaning;We fill in characteristics from stereotypes, generalities, and prior histories;11300;525;GPT-3.5-Turbo;Test cases generated
Endowment effect;Need To Act Fast;To get anything done, we tend to complete things we've invested time & energy in.;21300;480;GPT-3.5-Turbo;Test cases generated
Framing effect;Too Much Information;We notice when something has changed.;20600;451;Llama-3.1-70B;Test cases generated
Anthropomorphism;Not Enough Meaning;We find stories and patterns even in sparse data;21900;421;Llama-3.1-70B;Test cases generated
Fundamental attribution error;Need To Act Fast;To act, we must be confident we can make an impact and feel what we do is important;10300;359;Llama-3.1-70B;Test cases generated
Planning fallacy;Not Enough Meaning;We project our current mindset and assumptions onto the past and future;4100;316;Llama-3.1-70B;Test cases generated
Hyperbolic discounting;Need To Act Fast;To stay focused, we favor the immediate, relatable thing in front of us;15500;306;Llama-3.1-70B;Test cases generated
Negativity bias;Too Much Information;Bizarre/funny/visually-striking/anthropomorphic things stick out more than non-bizarre/unfunny things.;12800;294;GPT-3.5-Turbo;Test cases generated
In-group bias;Not Enough Meaning;We imagine things and people we're familiar with or fond of as better;9780;293;Llama-3.1-70B;Test cases generated
Disposition effect;Need To Act Fast;To get anything done, we tend to complete things we've invested time & energy in.;8710;293;Llama-3.1-70B;Test cases generated
